head := query_10Centriod
0-th query  distance:=60440
4493-th query  distance:=71639.1
4494-th query  distance:=56104.1
4495-th query  distance:=28638.6
4496-th query  distance:=15546
4497-th query  distance:=47610.2
4498-th query  distance:=31056.9
4499-th query  distance:=36749.4
4500-th query  distance:=31005.2
4501-th query  distance:=46328.8
4502-th query  distance:=54578.3
4503-th query  distance:=50408.4
4504-th query  distance:=21714
4505-th query  distance:=25563.6
4506-th query  distance:=48987.8
4507-th query  distance:=44287.9
4508-th query  distance:=44606.1
4509-th query  distance:=61792.4
4510-th query  distance:=40228.8
4511-th query  distance:=88031.1
4512-th query  distance:=27349.3
4513-th query  distance:=10290.7
4514-th query  distance:=53622.6
4515-th query  distance:=37733.9
4516-th query  distance:=65387.3
4517-th query  distance:=32569.8
4518-th query  distance:=16570.4
4519-th query  distance:=48991.7
4520-th query  distance:=40676.7
4521-th query  distance:=54192.9
4522-th query  distance:=2884.86
4523-th query  distance:=51432.6
4524-th query  distance:=49410.8
4525-th query  distance:=41497.2
4526-th query  distance:=29530.9
4527-th query  distance:=43826.6
4528-th query  distance:=11238.7
4529-th query  distance:=64939.6
4530-th query  distance:=63466.2
4531-th query  distance:=64610.7
4532-th query  distance:=43422.1
4533-th query  distance:=8729.42
4534-th query  distance:=64511
4535-th query  distance:=42110.5
4536-th query  distance:=30890.7
4537-th query  distance:=59375.3
4538-th query  distance:=8669.79
4539-th query  distance:=41032.4
4540-th query  distance:=29748.1
4541-th query  distance:=47020.6
4542-th query  distance:=25377.7
4543-th query  distance:=70651.7
4544-th query  distance:=30659.9
4545-th query  distance:=44582.7
4546-th query  distance:=21840.9
4547-th query  distance:=58292.6
4548-th query  distance:=54526.3
4549-th query  distance:=38472
4550-th query  distance:=39999.8
4551-th query  distance:=41409
4552-th query  distance:=3229.19
4553-th query  distance:=7982.26
4554-th query  distance:=22195.7
4555-th query  distance:=59450.2
4556-th query  distance:=48164.5
4557-th query  distance:=49017.3
4558-th query  distance:=25613.9
4559-th query  distance:=44449.7
4560-th query  distance:=19198.1
4561-th query  distance:=47130.9
4562-th query  distance:=34631.5
4563-th query  distance:=40442.4
4564-th query  distance:=59013
4565-th query  distance:=45843.1
4566-th query  distance:=59529.7
4567-th query  distance:=17022.2
4568-th query  distance:=56878
4569-th query  distance:=36277.2
4570-th query  distance:=38975
4571-th query  distance:=59423.1
4572-th query  distance:=38074.6
4573-th query  distance:=34307.2
4574-th query  distance:=53969.5
4575-th query  distance:=72811.9
4576-th query  distance:=25933.7
4577-th query  distance:=38611.8
4578-th query  distance:=39639.7
4579-th query  distance:=52175.5
4580-th query  distance:=91642.6
4581-th query  distance:=36338.4
4582-th query  distance:=40839
4583-th query  distance:=55061
4584-th query  distance:=28276.3
4585-th query  distance:=71816.7
4586-th query  distance:=39383.3
4587-th query  distance:=44521
4588-th query  distance:=8062.4
4589-th query  distance:=46983.8
4590-th query  distance:=31708.4
4591-th query  distance:=34369.1
4592-th query  distance:=25835.1
4593-th query  distance:=51497.5
4594-th query  distance:=39160.9
4595-th query  distance:=39136.1
4596-th query  distance:=45323.9
4597-th query  distance:=46585.3
4598-th query  distance:=22450.8
4599-th query  distance:=67020.7
4600-th query  distance:=52372.4
4601-th query  distance:=16064.9
4602-th query  distance:=15888.4
4603-th query  distance:=35159.9
4604-th query  distance:=33880.2
4605-th query  distance:=58654.2
4606-th query  distance:=54280.4
4607-th query  distance:=66595.8
4608-th query  distance:=63815.8
4609-th query  distance:=56681.4
4610-th query  distance:=35720.1
4611-th query  distance:=62189.7
4612-th query  distance:=64939.1
4613-th query  distance:=48098.5
4614-th query  distance:=49325.5
4615-th query  distance:=27240.3
4616-th query  distance:=11312.9
4617-th query  distance:=50010.1
4618-th query  distance:=50529
4619-th query  distance:=33240.8
4620-th query  distance:=71464.8
4621-th query  distance:=22547.2
4622-th query  distance:=44335.8
4623-th query  distance:=73212.1
4624-th query  distance:=6777.64
4625-th query  distance:=32694.2
4626-th query  distance:=10627.1
4627-th query  distance:=27872.7
4628-th query  distance:=20354.8
4629-th query  distance:=59363.5
4630-th query  distance:=11929.1
4631-th query  distance:=59810.3
4632-th query  distance:=49507.4
4633-th query  distance:=62906.3
4634-th query  distance:=53413.9
4635-th query  distance:=31246.1
4636-th query  distance:=52873.8
4637-th query  distance:=26677.3
4638-th query  distance:=29939.5
4639-th query  distance:=42974.3
4640-th query  distance:=58622
4641-th query  distance:=42261.5
4642-th query  distance:=36615.1
4643-th query  distance:=46221.8
4644-th query  distance:=28162.9
4645-th query  distance:=69322.3
4646-th query  distance:=77975.3
4647-th query  distance:=45871.7
4648-th query  distance:=50985.5
4649-th query  distance:=16188.3
4650-th query  distance:=33920
4651-th query  distance:=35522.6
4652-th query  distance:=53694.2
4653-th query  distance:=47400.4
4654-th query  distance:=55967.6
4655-th query  distance:=31373.9
4656-th query  distance:=45978.5
4657-th query  distance:=8522.24
4658-th query  distance:=48872.1
4659-th query  distance:=32510.3
4660-th query  distance:=33552
4661-th query  distance:=49863.2
4662-th query  distance:=20391.3
4663-th query  distance:=49321
4664-th query  distance:=21501.4
4665-th query  distance:=74504.7
4666-th query  distance:=33407.3
4667-th query  distance:=61054
4668-th query  distance:=27809.4
4669-th query  distance:=45035.9
4670-th query  distance:=65746
4671-th query  distance:=28410.4
4672-th query  distance:=48717.9
4673-th query  distance:=37239.3
4674-th query  distance:=33471.8
4675-th query  distance:=46753.3
4676-th query  distance:=72242.2
4677-th query  distance:=40701
4678-th query  distance:=37345.3
4679-th query  distance:=53305.4
4680-th query  distance:=47027.3
4681-th query  distance:=34183.9
4682-th query  distance:=44704.9
4683-th query  distance:=43848.6
4684-th query  distance:=7884.89
4685-th query  distance:=4458.98
4686-th query  distance:=69016.7
4687-th query  distance:=59094.7
4688-th query  distance:=50113.3
4689-th query  distance:=56369.6
4690-th query  distance:=35951.9
4691-th query  distance:=38223
4692-th query  distance:=53440.8
4693-th query  distance:=14330.6
4694-th query  distance:=45696.2
4695-th query  distance:=43138.9
4696-th query  distance:=75203.4
4697-th query  distance:=39869.8
4698-th query  distance:=34074.1
4699-th query  distance:=78518.5
4700-th query  distance:=18439.6
4701-th query  distance:=27458.3
4702-th query  distance:=51998.6
4703-th query  distance:=53155.5
4704-th query  distance:=11694.7
4705-th query  distance:=49149
4706-th query  distance:=26468.6
4707-th query  distance:=6032.67
4708-th query  distance:=55971.5
4709-th query  distance:=20182.6
4710-th query  distance:=35044.8
4711-th query  distance:=14039.4
4712-th query  distance:=11829.3
4713-th query  distance:=71471.3
4714-th query  distance:=48218.4
4715-th query  distance:=62820.2
4716-th query  distance:=40268.9
4717-th query  distance:=45455.6
4718-th query  distance:=16542
4719-th query  distance:=53612.9
4720-th query  distance:=40483.6
4721-th query  distance:=43676.8
4722-th query  distance:=65874.3
4723-th query  distance:=75833.5
4724-th query  distance:=49294.2
4725-th query  distance:=24991.1
4726-th query  distance:=8718.93
4727-th query  distance:=55503.2
4728-th query  distance:=67200.1
4729-th query  distance:=8840.77
4730-th query  distance:=21815.1
4731-th query  distance:=11988.6
4732-th query  distance:=57415.9
4733-th query  distance:=40068.7
4734-th query  distance:=24274.2
4735-th query  distance:=50793.7
4736-th query  distance:=7051.35
4737-th query  distance:=49627.6
4738-th query  distance:=48803.5
4739-th query  distance:=63314.4
4740-th query  distance:=13144.2
4741-th query  distance:=43348.3
4742-th query  distance:=36144.8
4743-th query  distance:=68455.4
4744-th query  distance:=48237.3
4745-th query  distance:=45976.7
4746-th query  distance:=42054.2
4747-th query  distance:=32807.4
4748-th query  distance:=75540.2
4749-th query  distance:=58394.6
4750-th query  distance:=36932.3
4751-th query  distance:=31763.2
4752-th query  distance:=47324.8
4753-th query  distance:=57098.1
4754-th query  distance:=41236.3
4755-th query  distance:=38181
4756-th query  distance:=26330.9
4757-th query  distance:=44777
4758-th query  distance:=65877.1
4759-th query  distance:=51726
4760-th query  distance:=48312.6
4761-th query  distance:=29122.1
4762-th query  distance:=33535.1
4763-th query  distance:=40968.8
4764-th query  distance:=44354.5
4765-th query  distance:=60643.1
4766-th query  distance:=21454.7
4767-th query  distance:=32897
4768-th query  distance:=67120.5
4769-th query  distance:=29674.3
4770-th query  distance:=61474.1
4771-th query  distance:=45789.5
4772-th query  distance:=20501.8
4773-th query  distance:=58246.9
4774-th query  distance:=55294.9
4775-th query  distance:=45649.3
4776-th query  distance:=48156.9
4777-th query  distance:=62121.1
4778-th query  distance:=25357.9
4779-th query  distance:=34136.5
4780-th query  distance:=38672.4
4781-th query  distance:=44032.1
4782-th query  distance:=43868.5
4783-th query  distance:=55070.8
4784-th query  distance:=5668.69
4785-th query  distance:=10749.4
4786-th query  distance:=28905.3
4787-th query  distance:=20872.8
4788-th query  distance:=48167.1
4789-th query  distance:=50614.3
4790-th query  distance:=45658.1
4791-th query  distance:=44072.2
4792-th query  distance:=69135.2
4793-th query  distance:=33107.1
4794-th query  distance:=20879.6
4795-th query  distance:=28646
4796-th query  distance:=21964.8
4797-th query  distance:=29345.7
4798-th query  distance:=46589.4
4799-th query  distance:=38457.2
4800-th query  distance:=38674.7
4801-th query  distance:=36729.3
4802-th query  distance:=54384.9
4803-th query  distance:=42810.5
4804-th query  distance:=38616.7
4805-th query  distance:=47401.1
4806-th query  distance:=65894.3
4807-th query  distance:=50364.7
4808-th query  distance:=15383.7
4809-th query  distance:=54395
4810-th query  distance:=28178.8
4811-th query  distance:=45474.8
4812-th query  distance:=35441.1
4813-th query  distance:=40676.2
4814-th query  distance:=12179.7
4815-th query  distance:=61206.6
4816-th query  distance:=19052.4
4817-th query  distance:=40778.8
4818-th query  distance:=39345.4
4819-th query  distance:=38427.3
4820-th query  distance:=7545.28
4821-th query  distance:=48506.9
4822-th query  distance:=17100.7
4823-th query  distance:=55831.4
4824-th query  distance:=52020.5
4825-th query  distance:=33099.6
4826-th query  distance:=18867.5
4827-th query  distance:=33088.2
4828-th query  distance:=19094
4829-th query  distance:=47710.1
4830-th query  distance:=43411.6
4831-th query  distance:=27189.6
4832-th query  distance:=40015.9
4833-th query  distance:=69391.3
4834-th query  distance:=49912.1
4835-th query  distance:=56929.5
4836-th query  distance:=33404.8
4837-th query  distance:=13367.9
4838-th query  distance:=50511.8
4839-th query  distance:=43912.7
4840-th query  distance:=37796.8
4841-th query  distance:=32302.6
4842-th query  distance:=33422.7
4843-th query  distance:=45764.1
4844-th query  distance:=16201.6
4845-th query  distance:=9508.92
4846-th query  distance:=13353.2
4847-th query  distance:=26625.8
4848-th query  distance:=24927.4
4849-th query  distance:=41151.4
4850-th query  distance:=50156.2
4851-th query  distance:=43173.8
4852-th query  distance:=31015.2
4853-th query  distance:=32727.8
4854-th query  distance:=40686.9
4855-th query  distance:=14568.8
4856-th query  distance:=33764.7
4857-th query  distance:=62113.2
4858-th query  distance:=23004.9
4859-th query  distance:=45020.7
4860-th query  distance:=49942.1
4861-th query  distance:=42967.4
4862-th query  distance:=3943.96
4863-th query  distance:=41286.6
4864-th query  distance:=5559.14
4865-th query  distance:=35655.9
4866-th query  distance:=47056.1
4867-th query  distance:=10350
4868-th query  distance:=52322.6
4869-th query  distance:=61391.6
4870-th query  distance:=46576.2
4871-th query  distance:=48526.2
4872-th query  distance:=58839.5
4873-th query  distance:=22668.1
4874-th query  distance:=41575
4875-th query  distance:=35279.3
4876-th query  distance:=37257.6
4877-th query  distance:=45888.8
4878-th query  distance:=49920.6
4879-th query  distance:=34920.9
4880-th query  distance:=44504.6
4881-th query  distance:=6269.26
4882-th query  distance:=36855.3
4883-th query  distance:=16165
4884-th query  distance:=63832.6
4885-th query  distance:=48339
4886-th query  distance:=27758.4
4887-th query  distance:=75087.8
4888-th query  distance:=40786.5
4889-th query  distance:=18374
4890-th query  distance:=18112.1
4891-th query  distance:=62643.9
4892-th query  distance:=15421.7
4893-th query  distance:=56843.3
4894-th query  distance:=71279
4895-th query  distance:=35407
4896-th query  distance:=12448.8
4897-th query  distance:=24820.7
4898-th query  distance:=42657.8
4899-th query  distance:=40992.1
4900-th query  distance:=44730.3
4901-th query  distance:=5247.41
4902-th query  distance:=21763.6
4903-th query  distance:=47604
4904-th query  distance:=1352.5
4905-th query  distance:=52586.9
4906-th query  distance:=34030.5
4907-th query  distance:=44571.8
4908-th query  distance:=10201.6
4909-th query  distance:=45755.8
4910-th query  distance:=13060.2
4911-th query  distance:=51372.3
4912-th query  distance:=21802.2
4913-th query  distance:=15966.2
4914-th query  distance:=50617.8
4915-th query  distance:=77782.6
4916-th query  distance:=54339.1
4917-th query  distance:=47065.9
4918-th query  distance:=33295.2
4919-th query  distance:=57957.6
4920-th query  distance:=52676.8
4921-th query  distance:=44569.4
4922-th query  distance:=44806.5
4923-th query  distance:=39908.1
4924-th query  distance:=72610.6
4925-th query  distance:=31860.6
4926-th query  distance:=42390.7
4927-th query  distance:=69225.4
4928-th query  distance:=53431.4
4929-th query  distance:=47713.8
4930-th query  distance:=48304.4
4931-th query  distance:=56831.3
4932-th query  distance:=47738
4933-th query  distance:=36375.8
4934-th query  distance:=46130.1
4935-th query  distance:=11721
4936-th query  distance:=38243.1
4937-th query  distance:=11184.4
4938-th query  distance:=55490.7
4939-th query  distance:=41095.1
4940-th query  distance:=23476.7
4941-th query  distance:=8033.93
4942-th query  distance:=31838.8
4943-th query  distance:=41344.5
4944-th query  distance:=44323.5
4945-th query  distance:=40314.1
4946-th query  distance:=23644.5
4947-th query  distance:=51608.6
4948-th query  distance:=23931.3
4949-th query  distance:=46439.1
4950-th query  distance:=37815.6
4951-th query  distance:=49351.9
4952-th query  distance:=48176.3
4953-th query  distance:=33039.4
4954-th query  distance:=25944.8
4955-th query  distance:=62663.3
4956-th query  distance:=47787.6
4957-th query  distance:=35654.8
4958-th query  distance:=53007.2
4959-th query  distance:=56207.5
4960-th query  distance:=60142.2
4961-th query  distance:=34730.8
4962-th query  distance:=49383.8
4963-th query  distance:=45984.3
4964-th query  distance:=24753.7
4965-th query  distance:=34969.8
4966-th query  distance:=11207.4
4967-th query  distance:=16252.9
4968-th query  distance:=48822
4969-th query  distance:=8373.34
4970-th query  distance:=59726.8
4971-th query  distance:=51272.5
4972-th query  distance:=14342.4
4973-th query  distance:=15689.7
4974-th query  distance:=34177.5
4975-th query  distance:=35474.6
4976-th query  distance:=28364
4977-th query  distance:=49031.3
4978-th query  distance:=28127.7
4979-th query  distance:=17265.3
4980-th query  distance:=43598.9
4981-th query  distance:=63035.1
4982-th query  distance:=56413.5
4983-th query  distance:=33106.3
4984-th query  distance:=45631.6
4985-th query  distance:=44539.7
4986-th query  distance:=21814.4
4987-th query  distance:=11729.4
4988-th query  distance:=51145.8
4989-th query  distance:=32424.8
4990-th query  distance:=33214.9
4991-th query  distance:=51859.7
4992-th query  distance:=30169.5
4993-th query  distance:=52949.6
4994-th query  distance:=25697
4995-th query  distance:=49774.3
4996-th query  distance:=60864.8
4997-th query  distance:=27383.2
4998-th query  distance:=52998.6
4999-th query  distance:=47428.3
5000-th query  distance:=36257
5001-th query  distance:=39404
5002-th query  distance:=39004.3
5003-th query  distance:=35217.3
5004-th query  distance:=41149
5005-th query  distance:=58682.5
5006-th query  distance:=46607.8
5007-th query  distance:=47215.4
5008-th query  distance:=40920.9
5009-th query  distance:=5506.17
5010-th query  distance:=49926.5
5011-th query  distance:=40184.9
5012-th query  distance:=63326.1
5013-th query  distance:=54554.2
5014-th query  distance:=60368.4
5015-th query  distance:=19910.6
5016-th query  distance:=5633.08
5017-th query  distance:=56962.8
5018-th query  distance:=49748
5019-th query  distance:=1507.68
5020-th query  distance:=27755.7
5021-th query  distance:=49136.3
5022-th query  distance:=26741.1
5023-th query  distance:=21071.9
5024-th query  distance:=23745.3
5025-th query  distance:=60150.2
5026-th query  distance:=37231.8
5027-th query  distance:=65595.8
5028-th query  distance:=41760.9
5029-th query  distance:=50131
5030-th query  distance:=8280.48
5031-th query  distance:=52122.7
5032-th query  distance:=39560.1
5033-th query  distance:=34632
5034-th query  distance:=57499.6
5035-th query  distance:=35218
5036-th query  distance:=62735.5
5037-th query  distance:=28185.4
5038-th query  distance:=49518.8
5039-th query  distance:=46925.1
5040-th query  distance:=25390
5041-th query  distance:=57750.8
5042-th query  distance:=31032.7
5043-th query  distance:=50232.4
5044-th query  distance:=64131.3
5045-th query  distance:=42153.1
5046-th query  distance:=41949
5047-th query  distance:=49620.5
5048-th query  distance:=39882.3
5049-th query  distance:=34908.7
5050-th query  distance:=40032
5051-th query  distance:=67548.7
5052-th query  distance:=52973.1
5053-th query  distance:=60781.9
5054-th query  distance:=66267.1
5055-th query  distance:=40424.6
5056-th query  distance:=58439.2
5057-th query  distance:=53083.9
5058-th query  distance:=22144.4
5059-th query  distance:=49631.8
5060-th query  distance:=69044.7
5061-th query  distance:=27409.4
5062-th query  distance:=34139.4
5063-th query  distance:=24393.4
5064-th query  distance:=30872.6
5065-th query  distance:=41209.6
5066-th query  distance:=25979.9
5067-th query  distance:=46877.1
5068-th query  distance:=29229.7
5069-th query  distance:=34546.7
5070-th query  distance:=47685.8
5071-th query  distance:=34206.8
5072-th query  distance:=76256.4
5073-th query  distance:=30970.1
5074-th query  distance:=57208.3
5075-th query  distance:=65187.8
5076-th query  distance:=21459.7
5077-th query  distance:=51083.4
5078-th query  distance:=12231.2
5079-th query  distance:=16395.6
5080-th query  distance:=46157.9
5081-th query  distance:=25427.3
5082-th query  distance:=42334.3
5083-th query  distance:=51936.5
5084-th query  distance:=48454
5085-th query  distance:=39161.5
5086-th query  distance:=31091
5087-th query  distance:=16459.5
5088-th query  distance:=65673.7
5089-th query  distance:=53587.7
5090-th query  distance:=23617.9
5091-th query  distance:=37184
5092-th query  distance:=35414.2
5093-th query  distance:=42480.4
5094-th query  distance:=11233.1
5095-th query  distance:=50912.3
5096-th query  distance:=36948.3
5097-th query  distance:=72485.6
5098-th query  distance:=10809.5
5099-th query  distance:=12531.5
5100-th query  distance:=47952.7
5101-th query  distance:=65987.6
5102-th query  distance:=30823.1
5103-th query  distance:=20574.7
5104-th query  distance:=12077.5
5105-th query  distance:=45097.5
5106-th query  distance:=51273.2
5107-th query  distance:=58459.4
5108-th query  distance:=31727.1
5109-th query  distance:=86208.6
5110-th query  distance:=25054.3
5111-th query  distance:=29377.6
5112-th query  distance:=16489.7
5113-th query  distance:=41385.2
5114-th query  distance:=60753.2
5115-th query  distance:=59685.2
5116-th query  distance:=52659
5117-th query  distance:=35371.7
5118-th query  distance:=23552.3
5119-th query  distance:=36120.1
5120-th query  distance:=61713.5
5121-th query  distance:=45385.1
5122-th query  distance:=58781.7
5123-th query  distance:=25955.5
5124-th query  distance:=62571.6
5125-th query  distance:=41879.2
5126-th query  distance:=8734.4
5127-th query  distance:=41599.8
5128-th query  distance:=43847.1
5129-th query  distance:=16143.1
5130-th query  distance:=59277.8
5131-th query  distance:=44924
5132-th query  distance:=62036.1
5133-th query  distance:=38206.3
5134-th query  distance:=44305.3
5135-th query  distance:=54565.6
5136-th query  distance:=58473.8
5137-th query  distance:=29798
5138-th query  distance:=4631.04
5139-th query  distance:=42990.8
5140-th query  distance:=47970.3
5141-th query  distance:=19721
5142-th query  distance:=36215.9
5143-th query  distance:=68377.8
5144-th query  distance:=51155.4
5145-th query  distance:=27215.8
5146-th query  distance:=33845
5147-th query  distance:=41397.1
5148-th query  distance:=36992.8
5149-th query  distance:=28509.6
5150-th query  distance:=45064.5
5151-th query  distance:=33347.9
5152-th query  distance:=48932.8
5153-th query  distance:=37748.5
5154-th query  distance:=30316.9
5155-th query  distance:=47245.2
5156-th query  distance:=72592.9
5157-th query  distance:=64434.4
5158-th query  distance:=27447.1
5159-th query  distance:=31927.1
5160-th query  distance:=59267.8
5161-th query  distance:=30461.8
5162-th query  distance:=51535.9
5163-th query  distance:=44967.7
5164-th query  distance:=58263.5
5165-th query  distance:=56411
5166-th query  distance:=25586.1
5167-th query  distance:=47739.3
5168-th query  distance:=42051.1
5169-th query  distance:=39124.1
5170-th query  distance:=23425.5
5171-th query  distance:=57358.4
5172-th query  distance:=32687.6
5173-th query  distance:=67972.9
5174-th query  distance:=33505.6
5175-th query  distance:=45056.8
5176-th query  distance:=44224.4
5177-th query  distance:=34119.9
5178-th query  distance:=24725
5179-th query  distance:=60227.8
5180-th query  distance:=43425.5
5181-th query  distance:=62833.9
5182-th query  distance:=35857.7
5183-th query  distance:=51518.9
5184-th query  distance:=26967.9
5185-th query  distance:=24715.3
5186-th query  distance:=16878
5187-th query  distance:=2686.1
5188-th query  distance:=45797.9
5189-th query  distance:=64645.4
5190-th query  distance:=35493.9
5191-th query  distance:=32797.1
5192-th query  distance:=32292.7
5193-th query  distance:=25453.8
5194-th query  distance:=27345.8
5195-th query  distance:=2396.12
5196-th query  distance:=36070.8
5197-th query  distance:=44442.1
5198-th query  distance:=13651.3
5199-th query  distance:=37908.8
5200-th query  distance:=60071.4
5201-th query  distance:=6230.96
5202-th query  distance:=26616.1
5203-th query  distance:=22342.2
5204-th query  distance:=48028.1
5205-th query  distance:=33152.3
5206-th query  distance:=7137.05
5207-th query  distance:=36046.8
5208-th query  distance:=39848.6
5209-th query  distance:=32364.7
5210-th query  distance:=51392
5211-th query  distance:=28339.4
5212-th query  distance:=45881.1
5213-th query  distance:=38693.9
5214-th query  distance:=56163.8
5215-th query  distance:=30368.2
5216-th query  distance:=19215.9
5217-th query  distance:=59617
5218-th query  distance:=16442.5
5219-th query  distance:=14243.8
5220-th query  distance:=17896.2
5221-th query  distance:=41230.9
5222-th query  distance:=41668.4
5223-th query  distance:=48581
5224-th query  distance:=10235.9
5225-th query  distance:=20001.5
5226-th query  distance:=43210.3
5227-th query  distance:=36962.8
5228-th query  distance:=50368.4
5229-th query  distance:=38419.3
5230-th query  distance:=50656.7
5231-th query  distance:=20552.4
5232-th query  distance:=48455.1
5233-th query  distance:=42605.4
5234-th query  distance:=18597.8
5235-th query  distance:=28597.5
5236-th query  distance:=37125.5
5237-th query  distance:=46607.8
5238-th query  distance:=40837.6
5239-th query  distance:=57946.5
5240-th query  distance:=42860.4
5241-th query  distance:=38717.8
5242-th query  distance:=16476.8
5243-th query  distance:=42216.1
5244-th query  distance:=56081.7
5245-th query  distance:=44237.4
5246-th query  distance:=12243.6
5247-th query  distance:=42135.4
5248-th query  distance:=38673.2
5249-th query  distance:=35290.8
5250-th query  distance:=58137.3
5251-th query  distance:=31566.2
5252-th query  distance:=18858.9
5253-th query  distance:=55381.7
5254-th query  distance:=50456.4
5255-th query  distance:=45488.1
5256-th query  distance:=77003.4
5257-th query  distance:=41012.3
5258-th query  distance:=65984.3
5259-th query  distance:=17636
5260-th query  distance:=27638.5
5261-th query  distance:=33297.9
5262-th query  distance:=32954.1
5263-th query  distance:=67685.6
5264-th query  distance:=69292.7
5265-th query  distance:=31304.1
5266-th query  distance:=44266.5
5267-th query  distance:=52638.7
5268-th query  distance:=51030
5269-th query  distance:=49844.5
5270-th query  distance:=26311.5
5271-th query  distance:=32343.2
5272-th query  distance:=34895.7
5273-th query  distance:=30925
5274-th query  distance:=42284.1
5275-th query  distance:=41998.1
5276-th query  distance:=43658.4
5277-th query  distance:=64427.4
5278-th query  distance:=32204.8
5279-th query  distance:=49041.8
5280-th query  distance:=42482.5
5281-th query  distance:=56376.6
5282-th query  distance:=6455.16
5283-th query  distance:=30664.3
5284-th query  distance:=52594.6
5285-th query  distance:=79392.4
5286-th query  distance:=51471.8
5287-th query  distance:=18307.5
5288-th query  distance:=40926.7
5289-th query  distance:=61153.2
5290-th query  distance:=27826.2
5291-th query  distance:=20885.5
5292-th query  distance:=50023.7
5293-th query  distance:=14107.7
5294-th query  distance:=31781
5295-th query  distance:=52036.5
5296-th query  distance:=15281.5
5297-th query  distance:=44234.8
5298-th query  distance:=50947.7
5299-th query  distance:=15883.7
5300-th query  distance:=25976.6
5301-th query  distance:=65088.1
5302-th query  distance:=4197.94
5303-th query  distance:=49372.8
5304-th query  distance:=46087.4
5305-th query  distance:=28586.8
5306-th query  distance:=25345.9
5307-th query  distance:=3691.87
5308-th query  distance:=60027
5309-th query  distance:=52083.9
5310-th query  distance:=70413.1
5311-th query  distance:=21956.8
5312-th query  distance:=41917
5313-th query  distance:=53864.6
5314-th query  distance:=55139.9
5315-th query  distance:=33333
5316-th query  distance:=47774
5317-th query  distance:=60423.6
5318-th query  distance:=38394.6
5319-th query  distance:=71462.2
5320-th query  distance:=4989.9
5321-th query  distance:=24590.9
5322-th query  distance:=32520.2
5323-th query  distance:=4571.54
5324-th query  distance:=44400.5
5325-th query  distance:=67499.8
5326-th query  distance:=5155.34
5327-th query  distance:=15257.7
5328-th query  distance:=42849.4
5329-th query  distance:=43119.3
5330-th query  distance:=45833.8
5331-th query  distance:=66318.4
5332-th query  distance:=18017.8
5333-th query  distance:=54523
5334-th query  distance:=24877.2
5335-th query  distance:=15967.3
5336-th query  distance:=38409.7
5337-th query  distance:=62532.9
5338-th query  distance:=4661.96
5339-th query  distance:=35626.3
5340-th query  distance:=25794.1
5341-th query  distance:=63593
5342-th query  distance:=57250.2
5343-th query  distance:=29151
5344-th query  distance:=29668.9
5345-th query  distance:=53891.9
5346-th query  distance:=46454.7
5347-th query  distance:=36666.6
5348-th query  distance:=41533.7
5349-th query  distance:=24661.3
5350-th query  distance:=53434.6
5351-th query  distance:=63765.5
5352-th query  distance:=47922.8
5353-th query  distance:=30944.7
5354-th query  distance:=53346
5355-th query  distance:=32385.7
5356-th query  distance:=48810
5357-th query  distance:=59084.1
5358-th query  distance:=43503.6
5359-th query  distance:=54493.5
5360-th query  distance:=68413.5
5361-th query  distance:=19617
5362-th query  distance:=38034.8
5363-th query  distance:=29158.9
5364-th query  distance:=53889.2
5365-th query  distance:=38882.1
5366-th query  distance:=14475.8
5367-th query  distance:=30214.5
5368-th query  distance:=48636.4
5369-th query  distance:=13169.4
5370-th query  distance:=29016.7
5371-th query  distance:=55283.8
5372-th query  distance:=62541.2
5373-th query  distance:=41954
5374-th query  distance:=39542.3
5375-th query  distance:=23777.1
5376-th query  distance:=45695.2
5377-th query  distance:=37080.9
5378-th query  distance:=72535.7
5379-th query  distance:=18474.2
5380-th query  distance:=34871.7
5381-th query  distance:=51688.1
5382-th query  distance:=43853.3
5383-th query  distance:=38411.1
5384-th query  distance:=45982.5
5385-th query  distance:=38599.5
5386-th query  distance:=53773.6
5387-th query  distance:=62072.8
5388-th query  distance:=16582.5
5389-th query  distance:=80393.6
5390-th query  distance:=44010.2
5391-th query  distance:=44982.3
5392-th query  distance:=37703.5
5393-th query  distance:=50128.5
5394-th query  distance:=28027.1
5395-th query  distance:=37974.4
5396-th query  distance:=68815.8
5397-th query  distance:=41765
5398-th query  distance:=32858.1
5399-th query  distance:=43839.2
5400-th query  distance:=43037.7
5401-th query  distance:=12838.6
5402-th query  distance:=34812.5
5403-th query  distance:=27445
5404-th query  distance:=39709.9
5405-th query  distance:=72383.4
5406-th query  distance:=30552.7
5407-th query  distance:=32264
5408-th query  distance:=55162.1
5409-th query  distance:=50851.2
5410-th query  distance:=83969.7
5411-th query  distance:=56882.8
5412-th query  distance:=58707
5413-th query  distance:=30636.4
5414-th query  distance:=49726.6
5415-th query  distance:=24082.3
5416-th query  distance:=31077.6
5417-th query  distance:=57378.6
5418-th query  distance:=44481.1
5419-th query  distance:=54441.2
5420-th query  distance:=24606.4
5421-th query  distance:=42336
5422-th query  distance:=23851.1
5423-th query  distance:=52614.2
5424-th query  distance:=24207.7
5425-th query  distance:=42556.9
5426-th query  distance:=41264.6
5427-th query  distance:=73209.7
5428-th query  distance:=27617.4
5429-th query  distance:=32087.7
5430-th query  distance:=1513.16
5431-th query  distance:=53943.5
5432-th query  distance:=49657.9
5433-th query  distance:=48959.7
5434-th query  distance:=39180.6
5435-th query  distance:=46118.3
